B,D,LB,g,phi,BC
0.6,0.3,2.0,9.85,34.9,270.0
0.6,0.0,2.0,10.2,37.7,200.0
0.6,0.3,2.0,10.2,37.7,570.0
0.6,0.0,2.0,10.85,44.8,860.0
0.6,0.3,2.0,10.85,44.8,1760.0
0.5,0.0,1.0,10.2,37.7,154.0
0.5,0.0,1.0,10.2,37.7,165.0
0.5,0.0,2.0,10.2,37.7,203.0
0.5,0.0,2.0,10.2,37.7,195.0
0.5,0.0,3.0,10.2,37.7,214.0
0.52,0.0,3.85,10.2,37.7,186.0
0.5,0.3,1.0,10.2,37.7,681.0
0.5,0.3,2.0,10.2,37.7,542.0
0.5,0.3,2.0,10.2,37.7,530.0
0.5,0.3,3.0,10.2,37.7,402.0
0.52,0.3,3.85,10.2,37.7,413.0
0.5,0.0,1.0,11.7,37.0,111.0
0.5,0.0,1.0,11.7,37.0,132.0
0.5,0.0,2.0,11.7,37.0,143.0
0.5,0.013,1.0,11.7,37.0,137.0
0.5,0.029,4.0,11.7,37.0,109.0
0.5,0.127,4.0,11.7,37.0,187.0
0.5,0.3,1.0,11.7,37.0,406.0
0.5,0.3,1.0,11.7,37.0,446.0
0.5,0.3,4.0,11.7,37.0,322.0
0.5,0.5,2.0,11.7,37.0,565.0
0.5,0.5,4.0,11.7,37.0,425.0
0.5,0.0,1.0,12.41,44.0,782.0
0.5,0.0,4.0,12.41,44.0,797.0
0.5,0.3,1.0,12.41,44.0,1940.0
0.5,0.5,2.0,12.41,44.0,2266.0
0.5,0.5,2.0,12.41,44.0,2847.0
0.5,0.5,4.0,12.41,44.0,2033.0
0.5,0.49,4.0,12.27,42.0,1492.0
0.5,0.0,2.0,11.77,37.0,123.0
0.5,0.0,2.0,11.77,37.0,134.0
0.5,0.3,1.0,11.77,37.0,370.0
0.5,0.5,2.0,11.77,37.0,464.0
0.5,0.0,4.0,12.0,40.0,461.0
0.5,0.5,4.0,12.0,40.0,1140.0
1.0,0.2,3.0,11.97,39.0,710.0
1.0,0.0,3.0,11.93,40.0,630.0
0.991,0.711,1.0,15.8,32.0,1773.7
3.004,0.762,1.0,15.8,32.0,1019.4
2.489,0.762,1.0,15.8,32.0,1158.0
1.492,0.762,1.0,15.8,32.0,1540.0
3.016,0.889,1.0,15.8,32.0,1161.2
0.058,0.029,5.95,15.7,34.0,58.5
0.058,0.029,5.95,16.1,37.0,82.5
0.058,0.058,5.95,15.7,34.0,70.91
0.058,0.058,5.95,16.1,37.0,98.93
0.058,0.029,5.95,16.5,39.5,121.5
0.058,0.058,5.95,16.5,39.5,142.9
0.058,0.029,5.95,16.8,41.5,157.5
0.058,0.058,5.95,16.8,41.5,184.9
0.058,0.029,5.95,17.1,42.5,180.5
0.058,0.058,5.95,17.1,42.5,211.0
0.094,0.047,6.0,15.7,34.0,74.4
0.094,0.094,6.0,15.7,34.0,91.5
0.094,0.047,6.0,16.1,37.0,104.8
0.094,0.094,6.0,16.1,37.0,127.5
0.094,0.047,6.0,16.5,39.5,155.8
0.094,0.094,6.0,16.5,39.5,185.6
0.094,0.047,6.0,16.8,41.5,206.8
0.094,0.094,6.0,16.8,41.5,244.6
0.094,0.047,6.0,17.1,42.5,235.6
0.094,0.094,6.0,17.1,42.5,279.6
0.152,0.075,5.95,15.7,34.0,98.2
0.152,0.15,5.95,15.7,34.0,122.3
0.152,0.075,5.95,16.1,37.0,143.3
0.152,0.15,5.95,16.1,37.0,176.4
0.152,0.075,5.95,16.5,39.5,211.2
